OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,City,State,ZipCode,TaxParcelIdentificationNumber,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),DefaultData,ComplianceStatus,TotalGHGEmissions,GHGEmissionsIntensity,Verified_Coordinates,Coordinates_Match,Latitude_err,Longitude_err
1,2016,NonResidential,Hotel,Mayflower park hotel,405 Olive way,Seattle,WA,98101.0,659000030,7,DOWNTOWN,47.6122,-122.33799,1927,1.0,12,88434,0,88434,Hotel,Hotel,88434.0,,,60.0,81.69999695,84.30000305,182.5,189.0,7226362.5,7456910.0,2003882.0,1156514.25,3946027.0,12764.5293,1276453.0,False,Compliant,249.98,2.83,"(47.61217, -122.33811)",False,-3.0000000002416982e-05,-0.00011999999999545707
2,2016,NonResidential,Hotel,Paramount Hotel,724 Pine street,Seattle,WA,98101.0,659000220,7,DOWNTOWN,47.61317,-122.33393,1996,1.0,11,103566,15064,88502,"Hotel, Parking, Restaurant",Hotel,83880.0,Parking,15064.0,61.0,94.80000305,97.90000153,176.1000061,179.3999939,8387933.0,8664479.0,0.0,950425.1875,3242851.0,51450.81641,5145082.0,False,Compliant,295.86,2.86,"(47.61313, -122.33359)",False,-3.999999999848569e-05,0.0003399999999942338
3,2016,NonResidential,Hotel,5673-The Westin Seattle,1900 5th Avenue,Seattle,WA,98101.0,659000475,7,DOWNTOWN,47.61393,-122.3381,1969,1.0,41,956110,196718,759392,Hotel,Hotel,756493.0,,,43.0,96.0,97.69999695,241.8999939,244.1000061,72587024.0,73937112.0,21566554.0,14515435.0,49526664.0,14938.0,1493800.0,False,Compliant,2089.28,2.19,"(47.61369, -122.33827)",False,-0.000240000000005125,-0.0001699999999971169
5,2016,NonResidential,Hotel,HOTEL MAX,620 STEWART ST,Seattle,WA,98101.0,659000640,7,DOWNTOWN,47.61412,-122.33664,1926,1.0,10,61320,0,61320,Hotel,Hotel,61320.0,,,56.0,110.8000031,113.3000031,216.1999969,224.0,6794584.0,6946800.5,2214446.25,811525.3125,2768924.0,18112.13086,1811213.0,False,Compliant,286.43,4.67,"(47.61429, -122.33658)",False,0.0001699999999971169,6.0000000004833964e-05
8,2016,NonResidential,Hotel,WARWICK SEATTLE HOTEL (ID8),401 LENORA ST,Seattle,WA,98121.0,659000970,7,DOWNTOWN,47.61375,-122.34047,1980,1.0,18,175580,62000,113580,"Hotel, Parking, Swimming Pool",Hotel,123445.0,Parking,68009.0,75.0,114.8000031,118.6999969,211.3999939,215.6000061,14172606.0,14656503.0,0.0,1573448.625,5368607.0,88039.98438,8803998.0,False,Compliant,505.01,2.88,"(47.61394, -122.34096)",False,0.00018999999999635975,-0.0004899999999992133
9,2016,Nonresidential COS,Other,West Precinct,810 Virginia St,Seattle,WA,98101.0,660000560,7,DOWNTOWN,47.61623,-122.33657,1999,1.0,2,97288,37198,60090,Police Station,Police Station,88830.0,,,,136.1000061,141.6000061,316.2999878,320.5,12086616.0,12581712.0,0.0,2160443.75,7371434.0,47151.81641,4715182.0,False,Compliant,301.81,3.1,"(47.61629, -122.33661)",False,5.999999999772854e-05,-3.999999999848569e-05
10,2016,NonResidential,Hotel,Camlin,1619 9th Avenue,Seattle,WA,98101.0,660000825,7,DOWNTOWN,47.6139,-122.33283,1926,1.0,11,83008,0,83008,Hotel,Hotel,81352.0,,,27.0,70.80000305,74.5,146.6000061,154.6999969,5758795.0,6062767.5,0.0,823919.875,2811215.0,29475.80078,2947580.0,False,Compliant,176.14,2.12,"(47.61394, -122.33286)",False,3.999999999848569e-05,-2.9999999995311555e-05
11,2016,NonResidential,Other,Paramount Theatre,911 Pine St,Seattle,WA,98101.0,660000955,7,DOWNTOWN,47.61327,-122.33136,1926,1.0,8,102761,0,102761,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,102761.0,,,,61.29999924,68.80000305,141.6999969,152.3000031,6298131.5,7067881.5,2276286.5,1065842.75,3636655.0,3851.890137,385189.0,False,Compliant,221.51,2.16,"(47.61324, -122.33136)",False,-3.0000000002416982e-05,0.0
12,2016,NonResidential,Hotel,311wh-Pioneer Square,612 2nd Ave,Seattle,WA,98104.0,939000080,7,DOWNTOWN,47.60294,-122.33263,1904,1.0,15,163984,0,163984,Hotel,Hotel,163984.0,,,43.0,83.69999695,86.59999847,180.8999939,187.1999969,13723820.0,14194054.0,0.0,2138897.75,7297919.0,64259.0,6425900.0,False,Compliant,392.16,2.39,"(47.60275, -122.33269)",False,-0.00018999999999635975,-6.0000000004833964e-05
13,2016,Multifamily MR (5-9),Mid-Rise Multifamily,Lyon Building,607 - 3rd Ave.,Seattle,WA,98104.0,939000105,7,DOWNTOWN,47.60284,-122.33184,1910,1.0,6,63712,1496,62216,Multifamily Housing,Multifamily Housing,56132.0,,,1.0,81.5,85.59999847,182.6999969,187.3999939,4573777.0,4807679.5,1039735.188,742091.1875,2532015.0,10020.25977,1002026.0,False,Compliant,151.12,2.37,"(47.60285, -122.33194)",False,9.999999996068709e-06,-0.00010000000000331966
