Latitude,Longitude,LargestPropertyUseTypeGFA,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseTypeGFA,PropertyGFABuilding(s)(%),ENERGYSTARScore,BuildingType,PrimaryPropertyType,ZipCode,CouncilDistrictCode,Neighborhood,NumberofBuildings,NumberofFloors,LargestPropertyUseType,SecondLargestPropertyUseType,ThirdLargestPropertyUseType,ComplianceStatus,AgeBuilt,Source_principale,Source_secondaire,Source_tertiaire,TotalGHGEmissions
47.6122,-122.33799,88434.0,0.0,0.0,100.0,60.0,NonResidential,Hotel,98101.0,7,Downtown,1.0,12,Hotel,None,None,Compliant,89,Electricity(kBtu),SteamUse(kBtu),NaturalGas(kBtu),249.98
47.61317,-122.33393,83880.0,15064.0,4622.0,85.455,61.0,NonResidential,Hotel,98101.0,7,Downtown,1.0,11,Hotel,Parking,Restaurant,Compliant,20,NaturalGas(kBtu),Electricity(kBtu),None,295.86
47.61393,-122.3381,756493.0,0.0,0.0,79.425,43.0,NonResidential,Hotel,98101.0,7,Downtown,1.0,41,Hotel,None,None,Compliant,47,Electricity(kBtu),SteamUse(kBtu),NaturalGas(kBtu),2089.28
47.61412,-122.33664,61320.0,0.0,0.0,100.0,56.0,NonResidential,Hotel,98101.0,7,Downtown,1.0,10,Hotel,None,None,Compliant,90,Electricity(kBtu),SteamUse(kBtu),NaturalGas(kBtu),286.43
47.61375,-122.34047,123445.0,68009.0,0.0,64.688,75.0,NonResidential,Hotel,98121.0,7,Downtown,1.0,18,Hotel,Parking,Swimming Pool,Compliant,36,NaturalGas(kBtu),Electricity(kBtu),None,505.01
47.61623,-122.33657,88830.0,0.0,0.0,61.765,,Nonresidential COS,Other,98101.0,7,Downtown,1.0,2,Police Station,None,None,Compliant,17,Electricity(kBtu),NaturalGas(kBtu),None,301.81
47.6139,-122.33283,81352.0,0.0,0.0,100.0,27.0,NonResidential,Hotel,98101.0,7,Downtown,1.0,11,Hotel,None,None,Compliant,90,NaturalGas(kBtu),Electricity(kBtu),None,176.14
47.61327,-122.33136,102761.0,0.0,0.0,100.0,,NonResidential,Other,98101.0,7,Downtown,1.0,8,Other - Entertainment/Public Assembly,None,None,Compliant,90,Electricity(kBtu),SteamUse(kBtu),NaturalGas(kBtu),221.51
47.60294,-122.33263,163984.0,0.0,0.0,100.0,43.0,NonResidential,Hotel,98104.0,7,Downtown,1.0,15,Hotel,None,None,Compliant,112,Electricity(kBtu),NaturalGas(kBtu),None,392.16
47.60695,-122.33414,133884.0,0.0,0.0,87.413,30.0,NonResidential,Hotel,98101.0,7,Downtown,1.0,11,Hotel,None,None,Compliant,47,Electricity(kBtu),SteamUse(kBtu),NaturalGas(kBtu),691.26
47.60713,-122.33323,336640.0,0.0,0.0,81.643,36.0,NonResidential,Hotel,98101.0,7,Downtown,1.0,25,Hotel,None,None,Compliant,18,Electricity(kBtu),SteamUse(kBtu),NaturalGas(kBtu),740.97
47.60699,-122.33346,65009.0,0.0,0.0,100.0,48.0,NonResidential,Hotel,98104.0,7,Downtown,1.0,9,Hotel,None,None,Compliant,88,NaturalGas(kBtu),SteamUse(kBtu),Electricity(kBtu),328.23
47.60809,-122.33212,295511.0,57600.0,0.0,81.769,58.0,NonResidential,Hotel,98101.0,7,Downtown,1.0,33,Hotel,Parking,None,Compliant,36,Electricity(kBtu),SteamUse(kBtu),NaturalGas(kBtu),648.62
47.60755,-122.33244,67390.0,25200.0,0.0,72.665,35.0,NonResidential,Hotel,98101.0,7,Downtown,1.0,11,Hotel,Parking,None,Compliant,94,SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),511.39
47.60649,-122.33297,364913.0,49000.0,1074.0,86.165,,Nonresidential COS,Other,98154.0,7,Downtown,1.0,11,Library,Parking,Data Center,Compliant,12,Electricity(kBtu),SteamUse(kBtu),None,181.38
47.60546,-122.33279,90000.0,40000.0,0.0,100.0,,NonResidential,Other,98104.0,7,Downtown,1.0,6,Fitness Center/Health Club/Gym,Office,Swimming Pool,Compliant,86,SteamUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),433.86
47.60681,-122.33078,348329.0,85000.0,0.0,79.581,31.0,NonResidential,Hotel,98104.0,7,Downtown,1.0,28,Hotel,Parking,None,Compliant,33,Electricity(kBtu),NaturalGas(kBtu),None,802.89
